Society,City/Site,Region,Polity,Year,Latitude,Longitude,Income Gini,Wealth Gini,Sources
,,,Ghana,1900,8.03,-1.08,0.36,,Aboagye & Bolt (2018)
,,,Ghana,1910,8.03,-1.08,0.38,,Aboagye & Bolt (2018)
,,,Ghana,1920,8.03,-1.08,0.45,,Aboagye & Bolt (2018)
,,,Ghana,1930,8.03,-1.08,0.48,,Aboagye & Bolt (2018)
,,,Ghana,1940,8.03,-1.08,0.5,,Aboagye & Bolt (2018)
,,,Argentina,1870,-38.41,-63.62,0.65,,Astorga-Junqueira (2017)
,,,Argentina,1930,-38.41,-63.62,0.63,,Astorga-Junqueira (2017)
,,,Brazil,1900,-14.24,-51.93,0.57,,Bertola et al. (2010)
,,,Uruguay,1900,-32.52,-55.77,0.55,,Bertola et al. (2010)
,,,Brazil,1940,-14.24,-51.93,0.63,,Bertola et al. (2010)
,,,Uruguay,1940,-32.52,-55.77,0.51,,Bertola et al. (2010)
,,,Kenya,1910,-0.02,37.9,0.63,,Bigsten (1986)
,,,Kenya,1910,-0.02,37.9,0.52,,Bigsten (1986)
,,,Kenya,1920,-0.02,37.9,0.6,,Bigsten (1986)
,,,Kenya,1930,-0.02,37.9,0.66,,Bigsten (1986)
,,,Kenya,1940,-0.02,37.9,0.7,,Bigsten (1986)
,,,Botswana,1900,-22.33,24.68,0.36,,Bolt & Hillbom (2016)
,,,Botswana,1910,-22.33,24.68,0.35,,Bolt & Hillbom (2016)
,,,Botswana,1920,-22.33,24.68,0.31,,Bolt & Hillbom (2016)
,,,Botswana,1930,-22.33,24.68,0.29,,Bolt & Hillbom (2016)
,,,Botswana,1940,-22.33,24.68,0.35,,Bolt & Hillbom (2016)
,,,Jamaica,1830,18.11,-77.3,0.55,,Burnard et al. (2019)
,,,Mexico,1900,23.63,-102.55,0.49,,Castaneda-Garza & Bengtsson (2020)
,,,Mexico,1920,23.63,-102.55,0.55,,Castaneda-Garza & Bengtsson (2020)
,,,Mexico,1940,23.63,-102.55,0.57,,Castaneda-Garza & Bengtsson (2020)
,,,Mexico,1950,23.63,-102.55,0.58,,Castaneda-Garza & Bengtsson (2020)
,,,Badari Early Dynastic,-3700,29.59,31.25,,0.38,"Castillos 1998, https://www.egyptologyforum.org/bbs/uruguay/Castillos,_Inequality_in_Egyptian_predynastic_cemeteries,_1998.pdf"
,,,Maadi Early Dynastic,-3100,29.58,31.15,,0.5,"Castillos 1998, https://www.egyptologyforum.org/bbs/uruguay/Castillos,_Inequality_in_Egyptian_predynastic_cemeteries,_1998.pdf"
,,,Abydos Early Dynastic,-2900,28.11,31.55,,0.77,"Castillos 1998, https://www.egyptologyforum.org/bbs/uruguay/Castillos,_Inequality_in_Egyptian_predynastic_cemeteries,_1998.pdf"
,,,Sakkara Early Dynastic,-2900,29.52,31.13,,0.61,"Castillos 1998, https://www.egyptologyforum.org/bbs/uruguay/Castillos,_Inequality_in_Egyptian_predynastic_cemeteries,_1998.pdf"
,,,Uganda,1900,1,32,0.4,,"de Haas (2021), https://academic.oup.com/ereh/article/26/2/255/6290253"
,,,Uganda,1910,1,32,0.42,,"de Haas (2021), https://academic.oup.com/ereh/article/26/2/255/6290253"
,,,Uganda,1920,1,32,0.5,,"de Haas (2021), https://academic.oup.com/ereh/article/26/2/255/6290253"
,,,Uganda,1930,1,32,0.47,,"de Haas (2021), https://academic.oup.com/ereh/article/26/2/255/6290253"
,,,Mexico,1890,23.63,-102.55,0.43,,"Fitzgerald (2008),  https://doi.org/10.1002/jid.1511Digital Object Identifier (DOI)"
,,,Mexico,1930,23.63,-102.55,0.5,,"Fitzgerald (2008),  https://doi.org/10.1002/jid.1511Digital Object Identifier (DOI)"
,,,South Africa,1820,-30.56,22.94,0.78,,"Fourie & von Fintel (2011) , https://eprints.lse.ac.uk/113838/1/Economic_inequality_in_Latin_America_and_Africa_1650_to_1950_Can_a_comparison_of_historical_trajectories_help_to_understand_underdevelopment.pdf"
,,,South Africa,1720,-30.56,22.94,0.79,,"Fourie & von Fintel (2011), https://www.tandfonline.com/doi/full/10.1080/20780389.2011.582990"
,,,South Africa,1750,-30.56,22.94,0.76,,"Fourie & von Fintel (2011), https://www.tandfonline.com/doi/full/10.1080/20780389.2011.582990"
,,,South Africa,1790,-30.56,22.94,0.74,,"Fourie & von Fintel (2011), https://www.tandfonline.com/doi/full/10.1080/20780389.2011.582990"
,,,South Africa,1870,-30.56,22.94,0.74,,"Fourie & von Fintel (2011), https://www.tandfonline.com/doi/full/10.1080/20780389.2011.582990"
,Ohalo II,,,-21500,32.72,35.57,,0.1827956989,GINI Project Database
,Hayonim Cave,,,-14981,32.92,35.22,,0.250462963,GINI Project Database
,Qarassa3,,,-14190,32.84,36.41,,0.116996148,GINI Project Database
,Wadi Faynan 16,,,-10600,38.22,41.24,,0.2737124829,GINI Project Database
,Hallan Çemi Tepesi,,,-9700,30.62,35.51,,0.4339172391,GINI Project Database
,Çayönü,,,-9500,32.03,35.48,,0.1515151515,GINI Project Database
,Jerf el Ahmar,,,-9500,36.38,38.18,,0.2058823529,GINI Project Database
,Gilgal I,,,-9450,38.22,39.73,,0.2263374486,GINI Project Database
,"Abu Salem G 08, Ramat Harif, G VIII",,,-8800,30.51,34.55,,0.6107236914,GINI Project Database
,Asana,,,-8500,32.72,34.97,,0.1150097466,GINI Project Database
,Ganj Dareh,,,-8500,34.27,47.48,,0.3096878806,GINI Project Database
,Nahal Oren,,,-8500,30.44,35.44,,0.2641509434,GINI Project Database
,Çayönü,,,-8400,38.35,34.23,,0.3840961538,GINI Project Database
,Aşıklı Höyük,,,-8350,38.22,39.73,,0.3067112783,GINI Project Database
,Shkārat Msaied,,,-8250,38.35,34.23,,0.212677231,GINI Project Database
,Aşıklı Höyük,,,-8000,-17.04,-70.63,,0.2549593496,GINI Project Database
,Canhasan III,,,-7650,34.77,33.16,,0.2894243641,GINI Project Database
,Parekklesia-Shillourokambos,,,-7600,37.26,33.33,,0.3132079238,GINI Project Database
,Can Hasan III,,,-7565,35.09,40.4,,0.2688222841,GINI Project Database
,Bouqras,,,-7500,37.26,33.33,,0.1982723159,GINI Project Database
,Beidha,,,-7130,30.37,35.45,,0.1189317012,GINI Project Database
,Çatalhöyük,,,-7100,37.67,32.83,,0.2357827476,GINI Project Database
,Khirokitia,,,-7000,36.5,39.09,,0.2525252525,GINI Project Database
,Asana,,,-6750,37.64,30.16,,0.08147915028,GINI Project Database
,Mavropigi,,,-6600,34.8,33.34,,0.2004310345,GINI Project Database
,Xiaojingshan,,,-6550,40.45,21.73,,0.1692307692,GINI Project Database
,Mehrgarh,,,-6500,40.35,34.77,,0.2114856271,GINI Project Database
,Tell Sabi Abyad,,,-6455,40.59,22.25,,0.1950374715,GINI Project Database
,Kuruçay Höyük,,,-6410,36.84,117.53,,0.3535913591,GINI Project Database
,Büyük Güllücek,,,-6350,34.12,43.9,,0.2792743295,GINI Project Database
,Nea Nikomedeia,,,-6250,29.38,67.61,,0.346907016,GINI Project Database
,Ikeda B Iseki,,,-6200,36.73,117.34,,0.1857923497,GINI Project Database
,Tell es Sawwan,,,-6150,38.16,57.96,,0.1079607415,GINI Project Database
,Xihe,,,-6150,38.19,58.35,,0.273768614,GINI Project Database
,Čopan-Tepe,,,-6000,42.51,25.91,,0.3571276822,GINI Project Database
,Džejtun,,,-6000,43.19,26.65,,0.4368653928,GINI Project Database
,Karanovo Bebaungsphase III,,,-6000,35.16,138.89,,0.2716763006,GINI Project Database
,Ovcharovo-gorata,,,-6000,39.36,22.84,,0.2013806706,GINI Project Database
,Sesklo,,,-5900,36,60,,0.2819751754,GINI Project Database
,Chagylly,,,-5650,38.9,38.73,,0.3377384632,GINI Project Database
,Çavi Tarlası,,,-5600,49.92,10.14,,0.494929065,GINI Project Database
,BH210,,,-5500,41.72,27.23,,0.04773623227,GINI Project Database
,BH983,,,-5500,50.3,8.79,,0.1487314646,GINI Project Database
,CA1225,,,-5500,48.95,8.96,,0.3288672351,GINI Project Database
,CA1707,,,-5500,41.72,27.23,,0.1779654092,GINI Project Database
,CO1125,,,-5500,50.92,6.88,,0.1126977015,GINI Project Database
,CO1349,,,-5500,29.38,67.61,,0.1291274674,GINI Project Database
,CO26,,,-5500,34.1,45.12,,0.1460385579,GINI Project Database
,CO754,,,-5500,47.76,8.8,,0.1573402616,GINI Project Database
,CR1737,,,-5500,-17.04,-70.63,,0.2101514659,GINI Project Database
,CR4741,,,-5500,48.82,12.81,,0.1846977869,GINI Project Database
,Drenovac,,,-5500,43.76,21.43,,0.2253928148,GINI Project Database
,Mehrgarh,,,-5500,41.93,25.57,,0.2235091134,GINI Project Database
,NA1312,,,-5500,41.93,25.57,,0.1449313354,GINI Project Database
,NA1766,,,-5500,44.31,21.41,,0.1514274625,GINI Project Database
,NA681,,,-5500,47.42,26.22,,0.1691046007,GINI Project Database
,Schwanfeld,,,-5500,44.03,18.14,,0.2725203606,GINI Project Database
,SU872,,,-5500,43.21,21.36,,0.3053967231,GINI Project Database
,SW2369,,,-5500,44.76,20.47,,0.1501867815,GINI Project Database
,Aşağı Pınar,,,-5400,39.36,22.89,,0.3758306451,GINI Project Database
,Bruchenbrücken,,,-5400,44.02,20.83,,0.2073408526,GINI Project Database
,Vaihingen,,,-5400,44.89,19.75,,0.1694311172,GINI Project Database
,Zagheh,,,-5370,44.1,18.14,,0.3588086729,GINI Project Database
,Belovode,,,-5350,45.05,20.43,,0.1852772561,GINI Project Database
,Aşağı Pınar,,,-5300,44.57,20.15,,0.3070894177,GINI Project Database
,Banjica,,,-5300,39.39,22.75,,0.3097297297,GINI Project Database
,Dimini,,,-5300,43.19,26.65,,0.3546325879,GINI Project Database
,Divostin,,,-5300,43.19,26.65,,0.1832753959,GINI Project Database
,Forsterbahnried,,,-5300,43.21,26.55,,0.1861792072,GINI Project Database
,Gomolava,,,-5300,43.21,26.55,,0.3283705542,GINI Project Database
,Hlebozavoda layer I,,,-5300,43.21,26.55,,0.2226190476,GINI Project Database
,Hlebozavoda layer II,,,-5300,43.52,26.6,,0.07635327635,GINI Project Database
,Obre II,,,-5300,35.82,49.98,,0.1486238532,GINI Project Database
,Opovo,,,-5300,44.03,18.14,,0.09289617486,GINI Project Database
,Stubline,,,-5300,43.25,26.57,,0.1979081929,GINI Project Database
,Tell Abada,,,-5300,44.57,20.15,,0.2236006342,GINI Project Database
,Visviki,,,-5300,44.57,20.15,,0.2952380952,GINI Project Database
,Köln-Lindenthal,,,-5200,44.57,20.15,,0.3520865031,GINI Project Database
,Plocnik,,,-5200,44.57,20.15,,0.2048875382,GINI Project Database
,Stephansposching,,,-5200,44.57,20.15,,0.2463841068,GINI Project Database
,Ikenai Iseki,,,-5100,43.19,26.65,,0.5274434486,GINI Project Database
,Shimokamata Iseki,,,-5100,43.19,26.65,,0.232614112,GINI Project Database
,Tenjin Iseki,,,-5100,43.19,26.65,,0.2653489069,GINI Project Database
,Baia-În Muchie,,,-5050,43.19,26.65,,0.4896095074,GINI Project Database
,Altyn-Tepe,,,-5000,43.19,26.65,,0.227613466,GINI Project Database
,Jiangzhai,,,-5000,43.21,26.55,,0.4662987581,GINI Project Database
,Okolište phase 2,,,-5000,43.21,26.55,,0.107314836,GINI Project Database
,Ovcharovo phase I,,,-4900,43.21,26.55,,0.1330698287,GINI Project Database
,Ovcharovo phase II,,,-4900,43.21,26.55,,0.2561983471,GINI Project Database
,Polyanitsa phase I,,,-4900,43.52,26.6,,0.2131556387,GINI Project Database
,Polyanitsa phase II,,,-4900,43.52,26.6,,0.1865232975,GINI Project Database
,Polyanitsa phase III,,,-4900,43.25,26.57,,0.2166628934,GINI Project Database
,Radingrad phase I,,,-4900,43.25,26.57,,0.1099787686,GINI Project Database
,Targovishte I,,,-4900,36.8,34.6,,0.1228420317,GINI Project Database
,Okolište phase 3,,,-4850,50.85,6.36,,0.2166666667,GINI Project Database
,Golyamo Delchevo phase III,,,-4800,44.57,20.15,,0.2513464991,GINI Project Database
,Golyamo Delchevo phase IV,,,-4800,44.57,20.15,,0.2203665043,GINI Project Database
,Golyamo Delchevo phase V,,,-4800,44.57,20.15,,0.1592039801,GINI Project Database
,Golyamo Delchevo phase VI,,,-4800,43.19,26.65,,0.1092925987,GINI Project Database
,Golyamo Delchevo phase VII,,,-4800,43.19,26.65,,0.1720125786,GINI Project Database
,Mersin-Yumuktepe,,,-4800,43.19,26.65,,0.4556296859,GINI Project Database
,Ovcharovo phase III,,,-4800,43.21,26.55,,0.2367363344,GINI Project Database
,Ovcharovo phase IV,,,-4800,43.52,26.6,,0.3667481663,GINI Project Database
,Ovcharovo phase V,,,-4800,43.25,26.57,,0.3252496434,GINI Project Database
,Ovcharovo phase VI,,,-4800,36.86,60.43,,0.3413014608,GINI Project Database
,Ovcharovo phase VII,,,-4800,34.38,109.2,,0.1651673264,GINI Project Database
,Polyanitsa phase IV,,,-4800,34.71,32.86,,0.2830692324,GINI Project Database
,Polyanitsa phase V,,,-4800,48.82,30.72,,0.3788011813,GINI Project Database
,Polyanitsa phase VI,,,-4800,43.67,28.54,,0.3379030211,GINI Project Database
,Polyanitsa phase VII,,,-4800,43.52,26.6,,0.3400763359,GINI Project Database
,Radingrad phase II,,,-4800,38.17,140.85,,0.2753623188,GINI Project Database
,Radingrad phase III,,,-4800,47.75,27.02,,0.2571976967,GINI Project Database
,Sotira-Teppes,,,-4800,44.13,26.47,,0.3282893392,GINI Project Database
,Targovishte II,,,-4800,44.13,26.47,,0.1642351901,GINI Project Database
,Targovishte III,,,-4800,44.13,26.47,,0.2121904762,GINI Project Database
,Imakumano Iseki,,,-4700,44.13,26.47,,0.2700993677,GINI Project Database
,Golyamo Delchevo phase IX,,,-4650,41.93,24.97,,0.2039215686,GINI Project Database
,Golyamo Delchevo phase VIII,,,-4650,44.57,20.15,,0.2546929316,GINI Project Database
,Golyamo Delchevo phase X,,,-4650,44.57,20.15,,0.1397624039,GINI Project Database
,Inden 1,,,-4650,44.57,20.15,,0.3518153262,GINI Project Database
,Ovcharovo phase IX,,,-4650,44.57,20.15,,0.2864234301,GINI Project Database
,Ovcharovo phase VIII,,,-4650,44.57,20.15,,0.1177181533,GINI Project Database
,Ovcharovo phase X,,,-4650,44.57,20.15,,0.1890775891,GINI Project Database
,Polyanitsa phase VIII,,,-4650,47.15,26.96,,0.2929470764,GINI Project Database
,Radingrad phase IV,,,-4650,43.19,26.65,,0.08971962617,GINI Project Database
,Radingrad phase V,,,-4650,43.19,26.65,,0.1770072993,GINI Project Database
,Targovishte IV,,,-4650,44.2,26.51,,0.2591006424,GINI Project Database
,Căscioarele layer 1,,,-4600,36.5,43.26,,0.2030741237,GINI Project Database
,Căscioarele layer 2,,,-4600,47.86,28.08,,0.2030741237,GINI Project Database
,Căscioarele layer I,,,-4600,40.26,140.57,,0.2030741237,GINI Project Database
,Căscioarele layer II,,,-4600,47.77,26.28,,0.2030741237,GINI Project Database
,Dolnoslav layer I,,,-4600,37,60,,0.2012780516,GINI Project Database
,Hăbăşeşti,,,-4600,35.94,117.08,,0.2348083339,GINI Project Database
,Raduvanu layer 2,,,-4600,35,34.06,,0.140662506,GINI Project Database
,Traian-Dealul Fîntînilor layer III,,,-4600,48.31,28.77,,0.1542553191,GINI Project Database
,Paralimni-Nissia,,,-4550,47.16,26.96,,0.1374146321,GINI Project Database
,Trusesti,,,-4550,38.22,41.24,,0.3044473044,GINI Project Database
,Hrebenyukiv Yar,,,-4530,46.84,26.58,,0.2499819742,GINI Project Database
,Akča-Tepe,,,-4500,48.42,28.87,,0.2744785499,GINI Project Database
,Durankulak phase IV,,,-4500,48.32,28.77,,0.217544317,GINI Project Database
,Nakanoya Matsubara Iseki,,,-4500,48.21,28.6,,0.308097417,GINI Project Database
,Tepe Gawra,,,-4500,48.42,28.86,,0.5761010745,GINI Project Database
,Golyamo Delchevo phase XI,,,-4450,48.04,9.67,,0.2033898305,GINI Project Database
,Golyamo Delchevo phase XII,,,-4450,47.96,27.15,,0.1578947368,GINI Project Database
,Golyamo Delchevo phase XIII,,,-4450,36.5,43.26,,0.1419753086,GINI Project Database
,Golyamo Delchevo phase XIV,,,-4450,48.34,28.77,,0.24,GINI Project Database
,Golyamo Delchevo phase XV,,,-4450,48.97,30.62,,0.1583333333,GINI Project Database
,Golyamo Delchevo phase XVI,,,-4450,49.16,30.7,,0.1344656759,GINI Project Database
,Ovcharovo phase XI,,,-4450,36.29,138.86,,0.1339712919,GINI Project Database
,Ovcharovo phase XII,,,-4450,48.53,29.35,,0.2210442619,GINI Project Database
,Putinesti 3,,,-4400,35.34,116.98,,0.1787176382,GINI Project Database
,Adâncata-Dealul Lipovanului A,,,-4350,47.7,9.01,,0.5285059246,GINI Project Database
,Dawenkou,,,-4350,47.77,26.28,,0.2613636364,GINI Project Database
,Haryachkivka 8,,,-4330,35.45,116.77,,0.2364246641,GINI Project Database
,Habasesti,,,-4313,47.01,6.97,,0.2435431738,GINI Project Database
,Değirmentepe,,,-4300,48.86,27.16,,0.3282263767,GINI Project Database
,Norşuntepe,,,-4300,48.56,30.75,,0.2497706652,GINI Project Database
,Wangyin,,,-4300,48.27,29.4,,0.3571656559,GINI Project Database
,Zabolotne,,,-4250,48.8,30.68,,0.2188356246,GINI Project Database
,Haryachkivka 7,,,-4230,48.64,30.55,,0.2189403567,GINI Project Database
,Ternivka,,,-4220,48.86,30.73,,0.164815232,GINI Project Database
,Vilshanka,,,-4220,47.17,7.67,,0.2992429121,GINI Project Database
,Yedian,,,-4216,36.23,138.83,,0.3888888889,GINI Project Database
,Aichbühl,,,-4200,35.86,138.39,,0.1779396462,GINI Project Database
,Ripiceni-Holm,,,-4200,48.02,27.34,,0.2216582183,GINI Project Database
,Tepe Gawra,,,-4200,47.18,8.01,,0.4417321163,GINI Project Database
,Adâncata-Dealul Lipovanului B,,,-4150,47.18,8.01,,0.2341382142,GINI Project Database
,Haryachkivka 3,,,-4100,48.81,30.53,,0.2461903558,GINI Project Database
,Veselyj Kut,,,-4070,48.21,27.11,,0.2352128714,GINI Project Database
,Chizhivka,,,-4050,48.9,30.54,,0.2031467009,GINI Project Database
,Beizhuang,,,-4000,48.76,30.38,,0.2063820018,GINI Project Database
,Hassek Höyük,,,-4000,47.59,8.93,,0.5762867647,GINI Project Database
,Hauterive-Champréveyres,,,-3974,48.45,29.5,,0.4516070784,GINI Project Database
,Trostyanchyk,,,-3970,48.82,30.4,,0.2203194992,GINI Project Database
,Stolniceni 1,,,-3955,48.85,30.59,,0.2445922679,GINI Project Database
,Hlybochock,,,-3950,38.62,39.47,,0.2960164653,GINI Project Database
,Maidanetske,,,-3950,48.85,30.49,,0.2335435993,GINI Project Database
,Nebelivka,,,-3950,48.73,30.43,,0.232525563,GINI Project Database
,Talianki,,,-3950,38.73,141.06,,0.1985135835,GINI Project Database
,Talne 3,,,-3950,47.91,28.67,,0.1328545781,GINI Project Database
,Volodymyrivka,,,-3920,47.1,7.21,,0.158479222,GINI Project Database
,Hornstaad-Hörnle IA,,,-3917,48.41,28.75,,0.2510219055,GINI Project Database
,Bilyj Kamin,,,-3910,37.75,38.93,,0.1965077823,GINI Project Database
,Trinca,,,-3894,46.85,6.72,,0.197972253,GINI Project Database
,Moshuriv 1,,,-3850,48.43,28.76,,0.1998681592,GINI Project Database
,"Aeschi SO, Burgäschisee-Ost",,,-3830,37.97,120.62,,0.1033975246,GINI Project Database
,Dobrovody,,,-3800,48.15,10.95,,0.2306069619,GINI Project Database
,"Egolzwil LU ""Station 4a""",,,-3800,46.93,7.12,,0.1508452984,GINI Project Database
,"Egolzwil LU ""Station 4d""",,,-3800,47.1,7.21,,0.2291706206,GINI Project Database
,Kakura Kaidzuka,,,-3800,47.5,9.43,,0.3354229663,GINI Project Database
,Vijtivka,,,-3750,33.56,35.37,,0.3066904702,GINI Project Database
,Apolyanka,,,-3710,32.76,35.23,,0.2632218333,GINI Project Database
,Pfyn-Breitenloo,,,-3708,48.06,9.61,,0.2224168126,GINI Project Database
,Cunicea 3,,,-3700,31.9,65.52,,0.2539114614,GINI Project Database
,Moshuriv 2,,,-3695,47.94,28.64,,0.303760704,GINI Project Database
,Kosenivka,,,-3690,36.15,38.06,,0.2959738633,GINI Project Database
,Rohy,,,-3670,32.21,35.99,,0.1597421312,GINI Project Database
,Sidon-Dakerman,,,-3600,47.36,8.55,,0.2317333713,GINI Project Database
,Yiftahel,,,-3600,34.82,32.4,,0.3752900232,GINI Project Database
,Sutz-Lattrigen Hauptstation innen,,,-3582,35.35,139.98,,0.1749464668,GINI Project Database
,Krynychky,,,-3580,35.96,138.19,,0.318933244,GINI Project Database
,Kisnycya,,,-3570,34.81,32.41,,0.2570459119,GINI Project Database
,Concise - E6,,,-3543,36.5,139.03,,0.2154583461,GINI Project Database
,Jebel al-Mutawwaq,,,-3500,35.56,139.58,,0.1738763046,GINI Project Database
,Kissonerga-Mosphilia,,,-3500,34.73,32.59,,0.4352055685,GINI Project Database
,Lemba-Lakkous,,,-3500,35.86,139.52,,0.2974967709,GINI Project Database
,Mundigak,,,-3500,35.8,138.39,,0.265840357,GINI Project Database
,Souskiou-Laona,,,-3500,35.12,138.95,,0.2948604401,GINI Project Database
,Pestenacker,,,-3495,35.8,138.41,,0.1417721519,GINI Project Database
,Akyuu Iseki,,,-3465,35.56,140.17,,0.3098591549,GINI Project Database
,Douchuuzakaue,,,-3465,31.28,35.12,,0.3137679367,GINI Project Database
,Murten-Pantschau,,,-3428,40.97,141.33,,0.1854447439,GINI Project Database
,Asana,,,-3395,32.25,45.05,,0.1269230769,GINI Project Database
,Sutz-Lattrigen Riedstation,,,-3393,35.56,139.61,,0.1491999098,GINI Project Database
,Arbon Bleiche 3,,,-3383,37.27,140.99,,0.2529665588,GINI Project Database
,Miharada Iseki (Middle Jomon),,,-3360,35.56,140.17,,0.2335168869,GINI Project Database
,Saikachido,,,-3360,34.93,117.4,,0.2252122088,GINI Project Database
,Tominosawa 2 Iseki,,,-3360,36.78,117.33,,0.4585160679,GINI Project Database
,Tsukidematsu,,,-3360,36.47,40.84,,0.224398498,GINI Project Database
,Cunicea 3,,,-3340,38.48,140.92,,0.2150867954,GINI Project Database
,Habuba Kebira South,,,-3300,45.44,5.52,,0.3265425514,GINI Project Database
,Bad Buchau - Torwiesen II,,,-3283,35.52,139.56,,0.2739942984,GINI Project Database
,Nishinohara Iseki,,,-3280,34.8,32.4,,0.2038664323,GINI Project Database
,Hunte 1 aelt mittl,,,-3200,45.44,5.52,,0.2012251964,GINI Project Database
,Hunte 1 jueng,,,-3200,52.54,8.33,,0.2483636216,GINI Project Database
,Haramchinogyokoukoumae,,,-3160,52.54,8.33,,0.1544696752,GINI Project Database
,Izuyamadai Iseki,,,-3160,47.36,8.55,,0.1780869445,GINI Project Database
,Ondashi Iseki,,,-3160,37.98,46,,0.1693498452,GINI Project Database
,Zürich-Mozartstrasse Horgen Schicht 3,,,-3119,-17.04,-70.63,,0.1339220015,GINI Project Database
,Ariyoshi-Kita,,,-3080,47.25,8.78,,0.1683626718,GINI Project Database
,Arad,,,-3000,35.17,117.06,,0.5396810629,GINI Project Database
,Babamae Iseki,,,-3000,36.65,39.5,,0.1941541834,GINI Project Database
,Jianxin,,,-3000,27.33,68.13,,0.3640810622,GINI Project Database
,Jiaojia,,,-3000,36.41,40.81,,0.2711026162,GINI Project Database
,JO879,,,-3000,35.63,117.19,,0.1093867334,GINI Project Database
,Kamatori,,,-3000,35.8,138.46,,0.1837360951,GINI Project Database
,PL21,,,-3000,35.64,140.13,,0.2202666927,GINI Project Database
,PL23,,,-3000,36.39,40.81,,0.1746184568,GINI Project Database
,Jirogamae,,,-2910,27.33,68.13,,0.1632653061,GINI Project Database
,Abu Salabikh,,,-2900,30.77,34.57,,0.3100420702,GINI Project Database
,Chlorakas-Palloures,,,-2900,-10.89,-77.52,,0.4667441386,GINI Project Database
,Yanik Tepe,,,-2900,33.75,44.75,,0.1596814263,GINI Project Database
,Kaminohara Iseki,,,-2780,36.09,38.14,,0.1964119292,GINI Project Database
,Mochigasaki,,,-2780,36.03,38.07,,0.1795829713,GINI Project Database
,Uchinodai 1 Iseki,,,-2780,35.55,140.17,,0.3439560594,GINI Project Database
,Kamifukasawa Iseki,,,-2750,35.36,119.51,,0.2110091743,GINI Project Database
,Tell al-Raqā'i,,,-2750,27.33,68.13,,0.2486737401,GINI Project Database
,"Charavines - Lac de Paladru, le premier vilage",,,-2669,40.98,141.35,,0.4341512941,GINI Project Database
,"Charavines - Lac de Paladru, deuxieme occupation",,,-2612,36.5,139.03,,0.5126196693,GINI Project Database
,Zürich-Mozartstrasse Schnurkeramik Schicht 2,,,-2605,36.33,42.49,,0.2544247788,GINI Project Database
,Caral,,,-2600,27.33,68.13,,0.4539585105,GINI Project Database
,Ximengzhuang,,,-2600,33.75,44.75,,0.2871966794,GINI Project Database
,Yinjiacheng,,,-2600,35.58,119.57,,0.3445850914,GINI Project Database
,Kokanezawa,,,-2590,35.02,33.32,,0.1595672752,GINI Project Database
,Ooishitai Iseki,,,-2590,36.84,119.14,,0.2700680272,GINI Project Database
,Tell Chuera,,,-2562,27.33,68.13,,0.6938215891,GINI Project Database
,Miharada Iseki (Late Jomon),,,-2540,43.65,-106.84,,0.2289719626,GINI Project Database
,Hombrechtikon - Feldbach West,,,-2523,42.56,-104.97,,0.09410973868,GINI Project Database
,Beer Resisim,,,-2500,42.57,-104.98,,0.3776781266,GINI Project Database
,Mohenjo-daro,,,-2500,35.02,33.32,,0.3246750054,GINI Project Database
,Mohenjo-daro,,,-2500,44.97,-108.27,,0.4380398897,GINI Project Database
,Tell Melebiye,,,-2500,44.41,-107.66,,0.4097445285,GINI Project Database
,Lujiakou,,,-2456,43.53,-105.24,,0.1919642857,GINI Project Database
,Tell Halawa A,,,-2450,43.61,-105.19,,0.1928545388,GINI Project Database
,Tell Selenkahiye,,,-2450,43.13,-105.87,,0.3396843452,GINI Project Database
,Tell Taya,,,-2450,43.16,-105.97,,0.175985163,GINI Project Database
,Donghaiyu,,,-2400,43.05,-105.86,,0.1368421053,GINI Project Database
,Mohenjo-daro,,,-2400,43.34,-106.05,,0.3160697327,GINI Project Database
,Tell Bderi,,,-2400,42.25,-106.55,,0.3569593148,GINI Project Database
,Tell Asmar,,,-2350,41.78,-107.32,,0.5084266486,GINI Project Database
,Liangchengzhen,,,-2300,27.33,68.13,,0.1908023483,GINI Project Database
,Mohenjo-daro,,,-2300,42.7,-106.79,,0.3929884743,GINI Project Database
,Tell Asmar,,,-2250,43.1,-107.09,,0.5312636166,GINI Project Database
,Mohenjo-daro,,,-2200,43.24,-107.26,,0.233470357,GINI Project Database
,Takenouchi Iseki,,,-2200,42.4,-110.36,,0.2957613815,GINI Project Database
,Cnoc Stanger Reay,,,-2194,42.25,-107.53,,0.1169690502,GINI Project Database
,Marki Alonia,,,-2150,31.87,131.37,,0.2448430493,GINI Project Database
,Gournia,,,-2100,36.65,-108.2,,0.3415917184,GINI Project Database
,Marki Alonia,,,-2100,33.31,44.47,,0.286002886,GINI Project Database
,Lairg,,,-2012,38.85,35.63,,0.2215959102,GINI Project Database
,LA16198,,,-2000,32.64,36.66,,0.07100923099,GINI Project Database
,Mohenjo-daro,,,-2000,30.96,46.1,,0.2995638043,GINI Project Database
,Tell Zheir,,,-2000,35.69,140.14,,0.4433244555,GINI Project Database
,Kültepe-Kanesh,,,-1927,35.11,25.79,,0.7303821145,GINI Project Database
,Tell Harmal,,,-1900,48.05,9.64,,0.462655724,GINI Project Database
,Ur,,,-1850,34.46,41.59,,0.7152164676,GINI Project Database
,LA110946,,,-1795,46.85,6.72,,0.3238927203,GINI Project Database
,Siedlung Forschner Phase 1,,,-1767,35.3,25.16,,0.1166452717,GINI Project Database
